,title,genre,synopsis,producer,studio,rating,scoredby,members,source,aired
1866,Naruto SD Rock Lee no Seishun Full-Power Ninden,"Action, Comedy, Parody","Welcome to the Hidden Leaf Village. The village where Uzumaki Naruto, star of the TV show ""Naruto"" makes his home. Every day, countless powerful ninjas carry out missions and train to hone their skills. Our main character is one of these powerful ninjas...but it's not Naruto! It's the ninja who can't use ninjutsu, Rock Lee! In spite of his handicap, Lee has big dreams. He works hard every day to perfect his hand-to-hand combat skills and become a splendid ninja! And to achieve his dream, he puts in more effort than anyone else. Under the hot-blooded tutelage of his teacher Guy, he works alongside his teammates Tenten and Neji. Watch the Beautiful Green Beast Rock Lee train, go on missions, and have all sorts of adventures!  
 
(Source: Crunchyroll) ","TV Tokyo, Shueisha",Studio Pierrot,7.25,16349,40291,Manga,"Apr 3, 2012 to Mar 26, 2013"
1867,Shinsekai yori,"Sci-Fi, Mystery, Horror, Psychological, Supernatural, Drama","Following a sudden outbreak of psychokinesis in 0.1% of the population, a rapid transformation swept the world. The godlike ability to manipulate matter remotely turned many power wielders to violence, inciting a long period of upheaval. Finally, after a chaotic era shaped by the rise and fall of oppressive regimes, the psychic humans were able to achieve a fragile peace by isolating their society, creating a new world bound by complex rules. 
 
In the town of Kamisu 66, 12-year-old Saki Watanabe has just awakened to her powers and is relieved to rejoin her friends—the mischievous Satoru Asahina, the shy Mamoru Itou, the cheerful Maria Akizuki, and Shun Aonuma, a mysterious boy whom Saki admires—at Sage Academy, a special school for psychics. However, unease looms as Saki begins to question the fate of those unable to awaken to their powers, and the children begin to get involved with secretive matters such as the rumored Tainted Cats said to abduct children. 
 
 Shinsekai yori  tells the unique coming-of-age story of Saki and her friends as they journey to grow into their roles in the supposed utopia. Accepting these roles, however, might not come easy when faced with the dark and shocking truths of society, and the impending havoc born from the new world. 
 
[Written by MAL Rewrite]","Aniplex, TV Asahi, Pony Canyon",A-1 Pictures,8.49,157559,408674,Novel,"Sep 29, 2012 to Mar 23, 2013"
1868,Gakkatsu!,"Comedy, School","In a fictional school, ""Tender Tank"" Rareko is constantly opening absurd yet strangely enthusiastic debates, this way creating a lively classroom life. Bringing up tremendous themes, she and her classmates exchange words like sword-strokes, and here and there even a profound remark is slipped in.  
 
A fun and informative debate comedy, packed into only five minutes each time.  
 
(Source: AniDB) ",Fanworks,NHK,6.55,1883,5836,Original,"Apr 3, 2012 to Sep 18, 2012"
1869,Shiba Inuko-san,Comedy,"Chako Ishibashi is a normal middle schooler at a normal school having normal school days. However, there is one oddity in Chako's everyday life—the student sitting at the desk next to her, Shibainuko-san. What is it about her that Chako finds strange? The answer is simple: Shibainuko-san doesn't look like a human at all. Instead, she looks just like a Shiba Inu! 
 
Polite, well-meaning, and with the mannerisms of both a dog and a human, Shibainuko-san is loved by all. However, Chako notices that her classmates seem oblivious to Shibainuko-san's physical appearance. Can a dog go to school and be a normal student?  
 
Join Chako and her best friend Naho on bite-sized misadventures with their unusual classmate, who may or may not actually be a dog. 
 
[Written by MAL Rewrite]","DAX Production, Takeshobo, Dream Creation",Hotline,5.83,2378,7278,Manga,"Apr 1, 2012 to Sep 23, 2012"
1870,Cardfight!! Vanguard Asia Circuit-hen,"Action, Game, Adventure, Demons, Shounen","Aichi and his friends have won the National Tournament and decide to go their own ways until a mysterious boy named Takuto Tatsunagi appears. He reveals that the Royal Paladins, Dark Paladins, and Kagero leaders have been captured, and the only way to free Cray is for the Vanguard fighters to use a new power- Limit Break. Because the Royal Paladins lose the ability to fight, Aichi's deck is changed to be a Gold Paladin deck. Aichi and his friends must now win the Vanguard VF Circuit if they are to learn more about the occurrences on Cray and free their old friends.  
 
(Source: ANN) ","TV Tokyo, Dentsu, Sotsu, Bushiroad",TMS Entertainment,7.02,7292,14093,Original,"Apr 8, 2012 to Jan 2, 2013"
1871,FateZero Remix,"Action, Fantasy, Supernatural","Two recap specials titled ""Fate/Zero Remix I"" and ""Fate/Zero Remix II"" serve to summarize the first 13 episodes of Fate/Zero.","Aniplex, Nitroplus, Aniplex of America",ufotable,7.2,4179,14393,Light novel,"Mar 25, 2012 to Apr 1, 2012"
1872,Lupin the Third Mine Fujiko to Iu Onna,"Action, Adventure, Comedy, Ecchi, Samurai, Seinen","Many people are falling prey to a suspicious new religion. Lupin III infiltrates this group, hoping to steal the treasure their leader keeps hidden. There he lays eyes on the beautiful, bewitching woman who has the leader enthralled. This is the story of how fashionable female thief Fujiko Mine first met Lupin III, the greatest thief of his generation. 
 
(Source: ANN)","Tohokushinsha Film Corporation, Po10tial, Nippon Television Network",TMS Entertainment,7.82,12750,32117,Manga,"Apr 5, 2012 to Jun 28, 2012"
1873,Guskou Budori no Denki 2012,"Slice of Life, Kids, Drama, Fantasy","The fairy tale follows a young man named Budori Gusuko in the Tohoku forests of northeastern Japan in the 1920s. After an onslaught of droughts and natural disasters, Budori is forced to leave his home and search for a better life elsewhere. Budori joins a group of scientists at the Ihatov Volcano Department, which deals with the same natural disasters that drove Budori from his home. 
 
(Source: ANN)","Bandai Visual, Dentsu, Asahi Shimbun, BS11, Visual Vision, Rironsha, Media Do, Studio elle, BS NTV",Tezuka Productions,6.34,1238,3621,Novel,"Jul 7, 2012"
1874,Shin Tennis no Ouji-sama Specials,"Action, Comedy, Sports, Shounen",Special releases with the DVDs that takes place before the events of the U-17.,Nihon Ad Systems,"Production I.G, M.S.C",7.61,2619,6897,Unknown,"Apr 20, 2012 to Apr 24, 2013"
1875,FateZero Onegai! Einzbern Soudanshitsu,Comedy,"Written by Kinoko Nasu, these specials are included in the BD box sets I & II. 
 
Join Irisviel as she helps Disciple No. Zero understand more details and history relating to the Holy Grail War.",Aniplex,ufotable,6.73,10443,23815,Unknown,"Mar 7, 2012 to Sep 19, 2012"
1876,Shinryaku!! Ika Musume,"Slice of Life, Comedy, Shounen","Original anime DVD bundled with the 12th, 14th, and 17th volumes of the manga.","Lantis, Glovision",Diomedea,7.55,8346,16971,Manga,"Aug 8, 2012 to Sep 8, 2014"
1877,Hunter x Hunter Movie 1 Phantom Rouge,"Action, Adventure, Super Power, Shounen","After completing their work at Yorknew City, Leorio Paladiknight and Kurapika investigate the rumored sightings of a boy with scarlet red eyes, as they believe this person to be a member of the now non-existent Kurta Clan. Kurapika hopes to find another survivor of the clan besides himself, but instead ends up losing both his eyes after an attack from someone who seems to be his childhood friend.  
 
Leorio tends to Kurapika's wounds, and then sends for both Gon Freecss and Killua Zoldyck to help retrieve Kurapika's eyeballs. However, their search brings them face-to-face with the infamous group of thieves known as Phantom Troupe—the same people who massacred the entire Kurta Clan five years ago for their scarlet eyes, which change color during moments of rage.  
 
 Hunter x Hunter Movie 1: Phantom Rouge  follows the boys' quest to locate their friend's eyes and catch the thief, causing them to delve deep into Phantom Troupe's past. And in doing so, they encounter a mysterious girl who appears to be linked to it all… 
 
[Written by MAL Rewrite]","VAP, Nippon Television Network, TOHO animation, Shueisha, Hiroshima Television",Madhouse,7.37,37995,63483,Manga,"Jan 12, 2013"
1878,One Off,Slice of Life,"A slice of life of high school girls in the early summer. Shiozaki Haruno is a 17-year-old girl who loves her motor cycle, HONDA's Giorno. She lives in remote highlands and longs for a vivid life in a city.  
 
Encounters with people staying at Haruno's parents' boardinghouse encourage her to step forward to her dream.","Dentsu, TYO",TYO Animations,6.48,4361,11115,Original,"Aug 5, 2012 to Oct 7, 2012"
1879,Kyoto Animation Hoshi-hen,Fantasy,"An incomplete storyboard rests on a desk. Within it, are a boy and girl who suddenly jump to life and escape the confines of the sheet of paper in order to kickstart their story—one defined by their own actions. As they journey across the desk, the world around them begins to transform and signals the start of their vivid new adventure. 
 
[Written by MAL Rewrite]","Lantis, Animation Do",Kyoto Animation,5.77,1566,2809,Original,"Aug 19, 2011"
1880,Jormungand Perfect Order,"Action, Adventure, Seinen","A ruthless arms dealer on a quixotic quest for world peace and a child soldier born into chaotic conflict. Their lives will intertwine as they journey together through the seedy underbelly of the world's arms market.  
 
(Source: FUNimation, edited) ","Geneon Universal Entertainment, Shogakukan Productions",White Fox,8.01,60528,107111,Manga,"Oct 10, 2012 to Dec 26, 2012"
1881,Tari Tari,"Music, Slice of Life, School","At Shirahamazaka High School, a special recital is held every year in which music students are able to showcase their talents in front of professionals and other prestigious guests. A third year, Konatsu Miyamoto desperately wants to sing in her last high school recital, but because she screwed up the year before, the vice principal has barred her from participating. 
 
That's when Konatsu comes up with a new plan to get involved; instead of joining the official choir, she'll form her own singing club with her friends! Unfortunately this proves to be harder than she imagined. Her friend Wakana Sakai, has given up on singing, for one, and Konatsu needs more than just two members. With only a month left until the recital, will Konatsu be able to find enough members for her club and actually be ready to sing at one of the most important events of the school year and graduate without regrets?","Bandai Visual, Dentsu, Sotsu, Lantis, Pony Canyon, Showgate, Good Smile Company, Infinite",P.A. Works,7.4,41084,99386,Original,"Jul 1, 2012 to Sep 23, 2012"
1882,Fuse Teppou Musume no Torimonochou,"Action, Drama, Historical, Supernatural","In Kyokutei Bakin's classic Japanese epic novel Nansou Satomi Hakkenden, eight samurai serve the Satomi clan during Japan's tumultuous Sengoku (Warring States) era. The Edo-era samurai are the reincarnations of the spirits that Princess Fuse mothered with a dog named Yatsufusa. In Fuse Gansaku: Satomi Hakkenden, the female hunter Hamaji comes to her brother in order to hunt Fuse. Thus, the karmic cycle of retribution that began long ago with the Satomi family begins anew. 
 
(Source: ANN)","TV Tokyo, Sotsu, MediaNet, Kids Station, Nippon Columbia, Asmik Ace Entertainment, Q-Tec, Tokyo Theatres, Bungeishunjuu, Toppan Printing, Keisei Electric Railway",TMS Entertainment,7.46,6928,17711,Book,"Oct 20, 2012"
1883,Chouyaku Hyakuninisshu Uta Koi.,"Historical, Josei, Romance","Uta Koi tells the ""super-liberal interpretation"" of the Hyakuninisshu anthology compiled during Japan's Heian period of 100 romantic poems from 100 different poets such as The Tale of Genji's Murasaki Shikibu.","TV Tokyo, Aniplex, Nihon Ad Systems, DAX Production",TYO Animations,7.53,5914,18842,Manga,"Jul 3, 2012 to Sep 25, 2012"
1884,High School DxD Specials,"Ecchi, Comedy, Harem, Romance, Demons, School","A series of 3-5 minute specials that were bundled with the HighSchool DxD DVD and Blu-rays. They are a stand alone set of episodes that are not a part of any story line in particular. 
 
Special 1: Going Sunbathing! - The Occult Research Club goes on a beach outing. 
 
Special 2: Issei's Private Training! - Issei is being given lessons in magic by Akeno. 
 
Special 3: A Little Bold, Koneko-Chan... Nyan! - Koneko accidentally has her personality reversed magically, making her incredibly sexually active and reversing her sexual preference. 
 
Special 4: The Untold Story of The Dress Break's Birth! - A few flashbacks of how Issei first found out and eventually perfected his special move, Dress Break. 
 
Special 5: Making Udon! - As part of a penalty for losing a bet, Sona and Tsubaki make udon for the Occult Research Club but the udon comes to life in a peculiar way... 
 
Special 6: Asia Transforms! - Asia wants to prove she is just as bad as any demon by using ideas found in Issei's magazines, going as far as dressing up like a harlot and seducing him. 
 
(Source: Wikipedia)","Genco, Lantis",TNK,7.39,62197,103089,Light novel,"Mar 21, 2012 to Aug 29, 2012"
1885,"Kono Naka ni Hitori, Imouto ga Iru!","Harem, Mystery, Comedy, Romance, Ecchi, School","Shougo Mikadono's father has just passed away, and now he must become the head of Mikadono Group, his father's company. After completing the training to take over, there is just one other stipulation he must adhere to: he will need to find a girl he loves at his new school and marry her by the time he graduates high school. 
 
Shougo transfers to Miryuin Private Academy, and it seems like he has many girls to choose from, such as Konoe Suruma, the class representative as well as his first new friend; Miyabi Kannagi, a standoffish but kind girl; Rinka Kunitachi, the student council vice president; Mei Sagara, who runs a cafe and dresses like a witch; and Mana Tendou, the student council president. However, there is a complication: one of them is his long-lost half sister, and he has no idea which one, so how can he become romantically involved with any of them? 
 
[Written by MAL Rewrite]","Lantis, TBS, DAX Production",Studio Gokumi,6.78,61096,121419,Light novel,"Jul 6, 2012 to Sep 28, 2012"
1886,Recorder to Randoseru Re,"Slice of Life, Comedy, School, Seinen",Second season.,Takeshobo,Seven,6.96,12239,20332,Unknown,"Apr 4, 2012 to Jun 27, 2012"
1887,Rakuen Tsuihou,"Action, Sci-Fi, Mecha","In a future where a massive disaster has devastated Earth, most of humanity has abandoned their physical bodies and relocated in digital form to DEVA, an advanced space station orbiting the ravaged planet. Free from the limitations of traditional existence, such as death and hunger, the inhabitants of this virtual reality reside in relative peace until Frontier Setter, a skilled hacker, infiltrates the system and spreads subversive messages to the populace. 
 
Labeled a threat to security by authorities, Frontier Setter is pursued by Angela Balzac, a dedicated member of DEVA's law enforcement. When the hacker's signal is traced to Earth, Angela takes on physical form, transferring her consciousness to a clone body and traveling to the world below in order to deal with the menace. On Earth, she is assisted by Dingo, a charismatic agent, and during her journey to uncover the mystery behind Frontier Setter, she gradually discovers startling realities about the wasteland some of humanity still refers to as home, as well as the paradise above. 
 
[Written by MAL Rewrite]","Toei Animation, Kinoshita Koumuten",Graphinica,7.52,29245,62396,Original,"Nov 15, 2014"
1888,Guilty Crown Lost Christmas - An Episode of Port Town,"Action, Drama, Sci-Fi, Super Power","In 2029, Scrooge escapes from a research facility where he had been confined as an experimental subject. His body was remodeled by genetic manipulations and he uses his psychic power to kill the chasers. One day, he meets another experimental subject called Carol. When three psychic chasers hunt down the two, Carol asks Scrooge to use his right arm to extract a weapon from her body. ",Nitroplus,Production I.G,7.06,36585,65565,Original,"Jul 26, 2012"
1889,Binbougami ga!,"Comedy, Parody, Shounen, Supernatural","Ichiko Sakura lives life on easy mode. Blessed with good fortune, she has everything she has ever wanted, including beauty, intelligence, and wealth. Momiji Binboda is a goddess of poverty. In stark contrast to Ichiko, she is cursed with misfortune, such as a perpetual cast on her arm, a flat chest, and a box under a bridge for a home. 
 
Their lives collide when Momiji lives up to her title and delivers some unfortunate news to Ichiko: her large amount of luck is due to her subconsciously draining the luck from those around her! Momiji has been tasked with stealing back Ichiko's fortune before she leaves everyone without enough luck to even survive. But Ichiko, with the help of the wandering monk Bobby Statice, manages to fight off the poverty goddess. This defeat forces the goddess to enlist reinforcements in the form of Kumagai, her teddy bear familiar, and the masochistic dog god, Momoo Inugami. 
 
Insanity ensues as Ichiko's quiet life is replaced with daily battles for her fortune. To survive the chaos, Ichiko will need all the luck she can get in  Binbougami ga! ! 
 
[Written by MAL Rewrite]","TV Tokyo, Bandai Visual, Dentsu, Trinity Sound, Sony Music Entertainment, Studio Jack, Shueisha",Sunrise,7.83,75343,150341,Manga,"Jul 5, 2012 to Sep 27, 2012"
1890,Guilty Crown 4-koma Gekijou,Comedy,Animated four-panel manga that comes as extra on the DVDs and Blu-rays.,"Aniplex, Studio Moriken",Production I.G,7.19,4522,16677,4-koma manga,"Jan 25, 2012 to Nov 21, 2012"
1891,Little Busters!,"Slice of Life, Comedy, Supernatural, Drama, School","As a child, Riki Naoe shut himself from the world, thanks to a diagnosis of narcolepsy following the tragic deaths of his parents. However, Riki is saved when, one fateful day, a boy named Kyousuke recruits him into a team who call themselves the Little Busters. Accompanied by Masato, Kengo, and Rin, these misfits spend their childhood fighting evil and enjoying their youth. 
 
Years pass, and even in high school, the well-knit teammates remain together. Kyousuke decides to re-ignite the Little Busters by forming a baseball team as it will be his last school year with them. They have a problem though: there aren't enough members! The tables have turned, for it is now Riki's turn to reach out and recruit new friends into the Little Busters, just like Kyousuke had once done for him. 
Then, an omen surfaces—Rin finds a strange letter attached to her cat, assigning them the duty of uncovering the ""secret of this world"" by completing specific tasks. Just what is this secret, and why is it being hidden? It's up to the Little Busters to find out! 
 
[Written by MAL Rewrite]","Warner Bros., Showgate",J.C.Staff,7.61,66309,174627,Visual novel,"Oct 6, 2012 to Apr 6, 2013"
1892,Ore no Imouto ga Konnani Kawaii Wake ga Nai.,"Slice of Life, Comedy, Romance","The diehard otaku Kirino Kousaka has returned and settled back into life in Japan with her friends and family. Despite what her older brother Kyousuke has previously done for her, Kirino continues to give him the cold shoulder, much to his frustration. He is worried that his persuasion for Kirino to drop her track and field training in America and return home may have severely strained his relationship with her. On top of that, Kyousuke now also has to decode a bold and cryptic message from Ruri ""Kuroneko"" Gokou, his junior at school as well as Kirino's friend. 
 
As the ties between the two siblings and their friends deepen, Kirino and Kyousuke will soon have to figure out how they want to deal with these relationships, helping each other realize their own feelings in the process. In spite of that, Kirino still manages to find time to satisfy her otaku needs with the company of her brother. 
 
[Written by MAL Rewrite] 
",Aniplex,A-1 Pictures,7.29,162141,259446,Light novel,"Apr 7, 2013 to Jun 30, 2013"
1893,Oniichan dakedo Ai sae Areba Kankeinai yo ne!,"Comedy, Ecchi, Harem, Romance, School","After six years of living separately, brother and sister Akiko and Akito Himenokouji are finally reunited. The two used to be quite close, until their parents died and they were sent to live with separate foster families. Now the two can live together and go to the same school as brother and extremely loving sister! 
 
It doesn’t take long before it becomes abundantly clear that Akiko has a huge brother complex. Unfortunately for Akiko, her brother only sees her as a little sister he must protect. But that won’t stop her from trying to win her brother’s affections! 
 
Things are only complicated when more girls move in with the siblings, making Akiko even more determined than ever to keep her brother’s eyes only on her. That’s tough to do with other girls flaunting their swimsuit-clad bodies at Akito, fighting over who gets to take care of him, and otherwise meddling in Akiko's plans for her brother. This is going to be one fun household…!","Lantis, Media Factory, AT-X, DAX Production, Cospa, Sony Music Communications",Silver Link.,6.71,73829,157376,Light novel,"Oct 5, 2012 to Dec 21, 2012"
1894,Tonari no Kaibutsu-kun,"Slice of Life, Comedy, Romance, School, Shoujo","Shizuku Mizutani is apathetic towards her classmates, only caring about her grades. However, her cold view of life begins to change when she meets Haru Yoshida, a violent troublemaker who stopped attending class after getting into a fight early in the school year. He is not much different from her, though—he too understands little about human nature and does not have any friends. Much to Shizuku's surprise, he proclaims that she will be his friend and immediately confesses his feelings towards her upon meeting her. 
  
Because of her lack of friends and social interaction, Shizuku has a hard time understanding her relationship with Haru. But slowly, their friendship begins to progress, and she discovers that there is more to Haru than violence. She begins to  develop feelings for him, but is unsure what kind of emotions she is experiencing. Together, Shizuku and Haru explore the true nature of their relationship and emotions. 
 
[Written by MAL Rewrite]","TV Tokyo, Aniplex, Nihon Ad Systems, Kodansha",Brain039;s Base,7.71,280729,480732,Manga,"Oct 2, 2012 to Dec 25, 2012"
1895,Vividred Operation,"Action, Sci-Fi, Ecchi","Friendship is the key to protecting the world. 
 
That is everyone's wish. Here in a world where science has solved all questions. 
 
This story is set in Oshima. The happy, carefree 14-year-old Akane Isshiki lived a poor, but well loved life together with her reliable little sister, Momo, who does all the housework, and her grandfather, Kenjirou, a genius inventor who only created useless devices. When the weather is clear, they can see the artificial island, Blue Island, across the sea. In the center of that island rises the revolutionary Manifestation Engine, a discovery that solved the world's energy problems. 
 
It is a peaceful future, just like everyone dreamed of. One where everyone can smile and be happy... 
 
But suddenly, the world is visited by danger. An unknown enemy, the Alone, appear, targeting the Manifestation Engine. As none of their weapons worked and they fell into despair, a lone girl takes a stand wearing a red ""Palette Suit"" which wields a great, hidden power. Before long, allies gather around her to fight. 
 
And their friendship becomes the only hope for saving the world! 
 
(Source: ANN)","Aniplex, Mainichi Broadcasting System",A-1 Pictures,6.52,21002,52346,Original,"Jan 11, 2013 to Mar 29, 2013"
1896,Sukitte Ii na yo.,"Drama, Romance, School, Shoujo","Friends will only let you down—that is the sad truth Mei Tachibana lives with, ever since she was wrongfully blamed for the death of a class pet by her so-called friends in grade school. Since then, she stays away from people in order to avoid ever being hurt again. However, Mei's life begins to change drastically when a misunderstanding in high school causes her to encounter popular student Yamato Kurosawa. 
 
Yamato finds her intriguing and insists on being her friend, even though Mei wants nothing to do with him. But when a dangerous situation ends with Yamato kissing Mei to save her from the unwanted attention of a stalker, Mei begins to develop feelings for him. On the heels of her discovery that their feelings are mutual, they start dating and she gains not only a boyfriend, but friends as well. Mei, however, finds it very hard to adapt to this new lifestyle, especially in expressing her true feelings towards Yamato. 
 
Throughout misunderstandings of their new relationship, each other, and the attentions of other girls, Mei and Yamato slowly grow closer and learn the true meaning of those three little words: ""I love you."" 
 
[Written by MAL Rewrite]","Starchild Records, Kodansha, Magic Capsule, Yomiuri Advertising, GANSIS",Zexcs,7.67,178909,312847,Manga,"Oct 7, 2012 to Dec 30, 2012"
1897,Nerawareta Gakuen,"Sci-Fi, Romance, School","Very little changes in Kenji Seki's daily routine. Every morning, he takes his dog to the beach in the hopes of catching a glimpse of his classmate, Kahori Harukawa, while she surfs. Afterward, he meets up with his neighbor and childhood friend, Natsuki Suzuura, and they walk to school. In essence, he lives an idyllic life where the only thing he has to worry about is how to finally confess his feelings to Kahori.  
 
The routineness of Kenji's life is interrupted by the arrival of a mysterious transfer student. Ryouichi Kyougoku, who claims to be a psychic, has both the charisma and popularity that Kenji has always dreamed of. Before long, Kahori begins to show feelings for Ryouichi, and Natsuki becomes distant whenever Kenji tries to talk about his feelings. 
 
As Kenji's life is thrown into disarray, how will Ryouichi's arrival impact those around him?  Nerawareta Gakuen  follows these formerly typical high schoolers as they become involved with the supernatural. 
 
[Written by MAL Rewrite]","Aniplex, Shochiku, Sony Music Entertainment, Bandai Namco Entertainment",Sunrise,7.18,26161,59661,Novel,"Oct 19, 2012"
1898,Btooom!,"Action, Sci-Fi, Psychological, Seinen","Ryouta Sakamoto is unemployed and lives with his mother, his only real achievement being that he is Japan's top player of the popular online video game Btooom! However, his peaceful life is about to change when he finds himself stranded on an island in the middle of nowhere, with a small green crystal embedded in his left hand and no memory of how he got there. To his shock, someone has decided to recreate the game he is so fond of in real life, with the stakes being life or death. 
 
Armed with a bag full of unique bombs known as ""BIM,"" the players are tasked with killing seven of their fellow participants and taking their green crystals in order to return home. Initially condemning any form of violence, Ryouta is forced to fight when he realizes that many of the other players are not as welcoming as they may seem. Teaming up with Himiko, a fellow Btooom! player, they attempt to get off of the island together, coming closer and closer to the truth behind this contest of death. 
 
[Written by MAL Rewrite]","Sotsu, KlockWorx, flying DOG, Showgate",Madhouse,7.59,272829,460070,Manga,"Oct 4, 2012 to Dec 20, 2012"
1899,Little Witch Academia,"Adventure, Comedy, Fantasy, Magic, School","For young witches everywhere, the world-renowned witch Shiny Chariot reigns as the most revered and celebrated role model. But as the girls age, so do their opinions of her—now just the mention of Chariot would get a witch labeled a child. However, undeterred in her blind admiration for Chariot, ordinary girl Atsuko Kagari enrolls into Luna Nova Magical Academy, hoping to someday become just as mesmerizing as her idol. 
 
However, the witch academy isn't all the fun and games Atsuko thought it would be: boring lectures, strict teachers, and students who mock Chariot plague the campus. Coupled with her own ineptness in magic, she's seen as little more than a rebel student. But when a chance finally presents itself to prove herself to her peers and teachers, she takes it, and now it's up to her to stop a rampaging dragon before it flattens the entire academy.  
 
[Written by MAL Rewrite]","Half H.P Studio, Ultra Super Pictures",Trigger,7.96,110614,184623,Original,"Mar 2, 2013"
1900,Yama no Susume,"Adventure, Slice of Life, Comedy","As a child, Aoi Yukimura adored mountains and was passionate about climbing. However, a playground accident has since left her afraid of heights, turning her toward indoor hobbies. Unfortunately, now a shy and timid first-year high school student, Aoi has become so absorbed in these pastimes that she can barely socialise with others, leaving her practically friendless. It’s only when she runs into the lively Hinata Kuraue, an old friend from her climbing days, that things start to change.  
 
Impulsive and high-spirited, Hinata insists on having Aoi join her in all sorts of climbing activities. Though reluctant at first, Aoi quickly finds that her time with Hinata brings back fond memories of their childhood and soon decides to start climbing again. As the return to her past hobby starts to bring her out of her shell, Aoi finds herself gaining close friends, taking on new challenges, and continuing to find her own encouragement to climb. 
 
[Written by MAL Rewrite]",Earth Star Entertainment,8bit,6.82,14745,37547,Manga,"Jan 3, 2013 to Mar 21, 2013"
1901,Arata naru Sekai WorldsStartLoadEnd,Sci-Fi,"Four high school girls in uniforms walk silently on the barren earth. These girls are time travelers who had been sent 6000 years into the future, from their present in which the same day is endlessly repeated, in order to evade human extinction. 
 
They studied time travel in school, were examined by the aptitude test, and were sent to the future as told. What should they do now? They had no idea. The only thing they could take with them from the present was a light, toy-like cellphone. Of course, it receives no signal here. 
 
As the girls are walking, they see strange birds flying in the sky, and a discolored river in the distance. 
 
Then, one girl finds an abandoned house, and recognizes the name inscribed on the front gates.","Aniplex, Kadokawa Shoten, ASCII Media Works",Madhouse,6.41,7300,15853,Unknown,"Oct 20, 2012"
1902,Chihayafuru 2,"Drama, Game, Josei, School, Slice of Life, Sports","Chihaya Ayase is obsessed with developing her school's competitive karuta club, nursing daunting ambitions like winning the national team championship at the Omi Jingu and becoming the Queen, the best female karuta player in Japan—and in extension, the world. As their second year of high school rolls around, Chihaya and her fellow teammates must recruit new members, train their minds and bodies alike, and battle the formidable opponents that stand in their way to the championship title. Meanwhile, Chihaya's childhood friend, Arata Wataya, the prodigy who introduced her to karuta, rediscovers his lost love for the old card game. 
 
[Written by MAL Rewrite]","VAP, Nippon Television Network",Madhouse,8.47,62508,113991,Manga,"Jan 12, 2013 to Jun 29, 2013"
1903,Persona 3 the Movie 1 Spring of Birth,"Action, Supernatural, Fantasy","At the stroke of midnight, the Dark Hour appears—a secret hour which most are unaware of. Those not trapped in coffins during this time, unfortunate enough to find themselves conscious, are met by dangerous creatures known as Shadows. A select few, however, possess the potential to wield Persona: a special power used to defeat these beings. This secret group is called SEES (Specialized Extracurricular Execution Squad), and their mission is to uncover the reason behind the Dark Hour's appearance. 
 
Only a short while after transfer student Makoto Yuuki begins his residency at Iwatodai Dorm, his Persona awakens after an attack by a strong Shadow. Now recruited into the ranks of SEES, he begins fighting alongside his comrades, as only they can protect humanity from Shadows and prevent the anomaly that is the Dark Hour. 
 
[Written by MAL Rewrite]","Aniplex, Yomiko Advertising, Atlus",AIC A.S.T.A.,7.73,30964,62911,Game,"Nov 23, 2013"
1904,Medaka Box Abnormal,"Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power","After the defeat of Myouri Unzen at the hands of Medaka Kurokami and her Student Council, peace has returned to Hakoniwa Academy—at least, for a short while. Soon, Medaka, Zenkichi Hitoyoshi, Kouki  Akune, and Mogana Kikaijima find themselves wrapped up in another sinister scheme, known as the ""Flask Plan,"" led by the school's principal himself. 
 
However, the council's first problem is to deal with a whole new group of superhuman students calling themselves the ""Thirteen Party,"" led by the egotistical but powerful Oudo Miyakonojou. With the mysterious Flask Plan, Oudo's tyranny, and the resurfacing of an old enemy, the state of Hakoniwa Academy is far from tranquil, and Medaka and her companions have their hands full as things only get a lot more abnormal.  
 
[Written by MAL Rewrite]","TV Tokyo, Lantis, Hakoniwa Academy Student Council","Gainax, Asahi Production",7.57,45837,87741,Manga,"Oct 11, 2012 to Dec 27, 2012"
1905,Maji de Otaku na English! Ribbon-chan Eigo de Tatakau Mahou Shoujo,"Comedy, Magic",Original anime that aims to teach English with cute girl characters. ,"Pastel, AIR AGENCY",AIC Frontier,5.3,1114,3958,Unknown,"Jul 31, 2012 to Nov 16, 2012"
1906,Minami-ke Omatase,"Comedy, Slice of Life",Minami-ke OVA bundled with the 10th volume of the manga.,Starchild Records,feel.,7.49,9158,17999,Manga,"Oct 5, 2012"
1907,Rinne no Lagrange Specials,Comedy,Rinne no Lagrange short specials included in the Rinne no Lagrange Blu-rays and DVDs.,"Bandai Visual, flying DOG, Dwango","Production I.G, Xebec",6.27,1467,3804,Original,"Mar 23, 2012 to Aug 24, 2012"
1908,Hiiro no Kakera Dai Ni Shou,"Fantasy, Romance, Shoujo, Supernatural",Second season of Hiiro no Kakera.,Bandai Visual,Studio Deen,7.36,16016,33385,Visual novel,"Sep 30, 2012 to Dec 23, 2012"
